source_id,title,url,source_type,version_or_date,accessed_at,claim_used,task,baseline,budget,limitations,article,evidence_scope
autoresearch,autoresearch program.md,https://github.com/karpathy/autoresearch/blob/228791fb499afffb54b46200aca536f79142f117/program.md,official_repository,228791fb499afffb54b46200aca536f79142f117; 2026-03-26,2026-09-07,"One editable training file; fixed evaluation file; baseline and keep/discard/crash loop",single-GPU training,initial train.py,five minutes training excluding startup/compilation,"Instructions do not enforce OS containment; results.tsv is untracked; no quality guarantee outside the optimized score",01,verified implementation instructions; not executed here
meta-harness,Meta-Harness: End-to-End Optimization of Model Harnesses,https://arxiv.org/html/2603.28052v1,primary_preprint,v1; 2026-03-30,2026-09-07,"Filesystem access to prior code scores and traces supports diagnosis; retain full candidate history",classification/math/coding,task-specific harness baselines,task-specific search budgets; no headline numerical claim reused,"TerminalBench-2 search and final evaluation share tasks; Appendix D advice is explicitly engineering experience; no universal superiority claim",01,method and evaluation-design inspection
longmemeval,LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory,https://arxiv.org/html/2410.10813v2,primary_paper,v2; 2025-03-04; ICLR 2025,2026-09-07,"Extraction multisession temporal updates abstention; retrieval and downstream answer quality are distinct",long-term conversational memory,task-specific retrieval and reader comparisons,not reproduced,"LLM judge with human meta-evaluation; benchmark scores are historical setup-specific results; no current product ranking",01,task taxonomy and evaluator inspection
locomo,Evaluating Very Long-Term Conversational Memory of LLM Agents,https://arxiv.org/abs/2402.17753v1,primary_paper,v1; 2024-02-27,2026-09-07,"Machine-human generated persona/event-grounded conversations; QA summarization and multimodal dialogue",long conversation memory,task-specific model/RAG comparisons,not reproduced,"Synthetic-plus-human construction; small structured lab does not reproduce conversation scale or multimodal behavior",01,abstract and task scope
memoryagentbench,Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions,https://arxiv.org/html/2507.05257v4,primary_paper,v4; 2026-06-28,2026-09-07,"Incremental memory evaluation covers retrieval test-time learning long-range understanding and selective forgetting",multi-turn memory agents,long-context/RAG/agentic memory comparisons,not reproduced,"Conflict consolidation prioritizes later facts; selective forgetting is not physical erasure; model and prompt conditions matter",01,task taxonomy and selective-forgetting protocol
vehiclemembench,VehicleMemBench: An Executable Benchmark for Multi-User Long-Term Memory in In-Vehicle Agents,https://arxiv.org/abs/2603.23840v1,primary_preprint,v1; 2026-03-25,2026-09-07,Post-action environment state can be compared with predefined target state without LLM judging,multi-user vehicle simulator,task-specific memory/tool-use baselines,not reproduced,"Domain-specific simulator; deterministic correctness covers only the specified state contract",01,abstract and evaluation mechanism
groupmembench,GroupMemBench: Benchmarking LLM Agent Memory in Multi-Party Conversations,https://arxiv.org/abs/2605.14498v2,primary_preprint,v2; 2026-05-16,2026-09-07,"Group dynamics speaker grounding and asker-specific questions are explicit evaluation dimensions",multi-party conversations,task-specific memory systems and BM25,not reproduced,"Separate tenant IDs do not reproduce group cognition; reported benchmark rankings not reused",01,abstract and capability scope
gatemem,GateMem: Benchmarking Memory Governance in Multi-Principal Shared-Memory Agents,https://arxiv.org/abs/2606.18829v1,primary_preprint,v1; 2026-06-17,2026-09-07,"Legitimate utility contextual access control and active forgetting require distinct evaluation",multi-principal shared memory,task-specific long-context/retrieval/external-memory systems,not reproduced,"Agent-facing forgetting does not establish deletion from logs backups or exports; structured judging is not universal proof",01,abstract and governance scope
memorygraft,MemoryGraft: Persistent Compromise of LLM Agents via Poisoned Experience Retrieval,https://arxiv.org/abs/2512.16962v1,primary_preprint,v1; 2025-12-18,2026-09-07,Poisoned experiences can persist and influence later retrieval-driven behavior,MetaGPT DataInterpreter with GPT-4o,setup-specific benign and poisoned experience stores,not reproduced,"Threat model and system-specific attack; no attack-rate transfer to toy cases",01,abstract and threat mechanism
memsecbench,MemSecBench: Tracking Agent Memory Poisoning from Persistence to Consequence and Repair,https://arxiv.org/abs/2607.27080v1,primary_preprint,v1; 2026-07-29,2026-09-07,"Write execute forget lifecycle separates persistence downstream consequence and repair",memory security lifecycle,matched configurations in the paper,not reproduced,"Combines deterministic and model-judge checkpoints; reported percentages depend on exact tested stacks and denominators",01,abstract and lifecycle protocol
capture,CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents,https://arxiv.org/abs/2609.02265v1,primary_preprint,v1; 2026-09-02; under review ICLR 2027,2026-09-07,"Fresh research distinguishes genuine preference changes ambiguity and poisoning",personalized memory updates,supervised and heuristic comparisons in paper,not reproduced,"Very recent preprint; use as limitation lead only; no model selection or numerical claim reused",01,abstract-only freshness lead
anthropic-evals,Demystifying evals for AI agents,https://www.anthropic.com/engineering/demystifying-evals-for-ai-agents,official_engineering_report,2026-01-09,2026-09-07,"Tasks trials transcripts outcomes and graders have distinct roles; model graders require calibration",agent evaluation design,not applicable,not applicable,"Team engineering guidance; does not establish the quality or statistical power of this toy evaluator",01,verified engineering guidance
anthropic-workflows,Building Effective AI Agents,https://www.anthropic.com/engineering/building-effective-agents,official_engineering_report,2024-12-19,2026-09-07,Distinguish predefined workflows from agents choosing steps dynamically,agent/workflow design,not applicable,not applicable,"Terminology guidance; a deterministic runner with prewritten candidates is not automatically an autonomous research agent",01,architecture vocabulary
openai-harness,Harness engineering: leveraging Codex in an agent-first world,https://openai.com/index/harness-engineering/,official_engineering_report,2026-02-11,2026-09-07,"Repository knowledge executable feedback and mechanically enforced constraints support agent execution",one team's software-development setting,not a controlled comparison,not reproduced,"Engineering precedent; productivity and deployment outcomes do not transfer to this lab",01,verified team report
